Adlam,Adlm
Afaka,Afak
CaucasianAlbanian,Aghb
Ahom,Ahom
TaiAhom,Ahom
Arabic,Arab
Nastaliq,Aran
Aramaic,Armi
Armenian,Armn
Avestan,Avst
Balinese,Bali
Bamum,Bamu
BassaVah,Bass
Batak,Batk
Bengali,Beng
Bangla,Beng
Bhaiksuki,Bhks
Blissymbols,Blis
Bopomofo,Bopo
Brahmi,Brah
Braille,Brai
Buginese,Bugi
Buhid,Buhd
Chakma,Cakm
CanadianSyllabics,Cans
Carian,Cari
Cham,Cham
Cherokee,Cher
Chorasmian,Chrs
Cirth,Cirt
Coptic,Copt
CyproMinoan,Cpmn
CypriotSyllabary,Cprt
Cyrillic,Cyrl
CyrillicOldChurchSlavonicVariant,Cyrs
Devanagari,Deva
Nagari,Deva
DivesAkuru,Diak
Dogra,Dogr
Deseret,Dsrt
Mormon,Dsrt
DuployanShorthand,Dupl
DuployanStenography,Dupl
EgyptianDemotic,Egyd
EgyptianHieratic,Egyh
EgyptianHieroglyphs,Egyp
Elbasan,Elba
Elymaic,Elym
Ethiopic,Ethi
Geez,Ethi
,Ethi
Khutsuri,Geok
Georgian,Geor
Glagolitic,Glag
GunjalaGondi,Gong
MasaramGondi,Gonm
Gothic,Goth
Grantha,Gran
Greek,Grek
Gujarati,Gujr
Gurmukhi,Guru
HanBopomofo,Hanb
Hangul,Hang
,Hang
Hangeul,Hang
Han,Hani
Hanzi,Hani
Kanji,Hani
Hanja,Hani
Hanunoo,Hano
Hanunoo,Hano
HanSimplifiedVariant,Hans
HanTraditionalVariant,Hant
Hatran,Hatr
Hebrew,Hebr
Hiragana,Hira
AnatolianHieroglyphs,Hluw
LuwianHieroglyphs,Hluw
HittiteHieroglyphs,Hluw
PahawhHmong,Hmng
NyiakengPuachueHmong,Hmnp
JapaneseSyllabaries,Hrkt
OldHungarian,Hung
HungarianRunic,Hung
Indus,Inds
Harappan,Inds
OldItalic,Ital
Jamo,Jamo
Javanese,Java
Japanese,Jpan
Jurchen,Jurc
KayahLi,Kali
Katakana,Kana
Kharoshthi,Khar
Khmer,Khmr
Khojki,Khoj
KhitanLarge,Kitl
KhitanSmall,Kits
Kannada,Knda
Korean,Kore
Kpelle,Kpel
Kaithi,Kthi
TaiTham,Lana
Lanna,Lana
Lao,Laoo
Fraktur,Latf
Gaelic,Latg
Latin,Latn
Leke,Leke
Lepcha,Lepc
Róng,Lepc
Limbu,Limb
LinearA,Lina
LinearB,Linb
Lisu,Lisu
Fraser,Lisu
Loma,Loma
Lycian,Lyci
Lydian,Lydi
Mahajani,Mahj
Makasar,Maka
Mandaic,Mand
Mandaean,Mand
Manichaean,Mani
Marchen,Marc
MayanHieroglyphs,Maya
Medefaidrin,Medf
OberiOkaime,Medf
OberiƆkaimɛ,Medf
MendeKikakui,Mend
MeroiticCursive,Merc
MeroiticHieroglyphs,Mero
Malayalam,Mlym
Modi,Modi
Moḍī,Modi
Mongolian,Mong
Moon,Moon
MoonCode,Moon
MoonScript,Moon
MoonType,Moon
Mro,Mroo
Mru,Mroo
MeiteiMayek,Mtei
Meithei,Mtei
Meetei,Mtei
Multani,Mult
Myanmar,Mymr
Burmese,Mymr
Nandinagari,Nand
OldNorthArabian,Narb
AncientNorthArabian,Narb
Nabataean,Nbat
Newa,Newa
Newar,Newa
Newari,Newa
NepālaLipi,Newa
NaxiDongba,Nkdb
Na²¹ɕi³³To³³Ba²¹,Nkdb
NakhiTomba,Nkdb
NaxiGeba,Nkgb
Na²¹ɕi³³Gʌ²¹Ba²¹,Nkgb
NaKhi²Ggŏ¹Baw,Nkgb
NakhiGeba,Nkgb
,Nkoo
NKo,Nkoo
Nüshu,Nshu
Ogham,Ogam
OlChiki,Olck
