aa,,,
ab,Cyrl,,
ae,,,
af,Latn,,
ak,,,
am,Ethi,,
an,,,
ar,Arab,,
as,Beng,,
av,,,
ay,Latn,,
az,,,
ba,,,
be,Cyrl,,
bg,Cyrl,,
bh,,,
bi,,,
bm,,,
bn,Beng,,
bo,,,
br,,,
bs,Latn,sh,
ca,Latn,,
ce,,,
ch,Latn,,
co,,,
cr,,,
cs,Latn,,
cu,,,
cv,,,
cy,Latn,,
da,Latn,,
de,Latn,,
dv,Thaa,,
dz,Tibt,,
ee,,,
el,Grek,,
en,Latn,,
eo,Latn,,
es,Latn,,
et,Latn,,
eu,Latn,,
fa,Arab,,
ff,,,
fi,Latn,,
fj,Latn,,
fo,Latn,,
fr,Latn,,
fy,Latn,,
ga,Latn,,
gd,,,
gl,Latn,,
gn,Latn,,
gu,Gujr,,
gv,Latn,,
ha,,,
he,Hebr,,
hi,Deva,,
ho,,,
hr,Latn,sh,
ht,Latn,,
hu,Latn,,
hy,Armn,,
hz,,,
ia,,,
id,Latn,ms,
ie,,,
ig,,,
ii,,,
ik,,,
in,Latn,ms,id!
io,,,
is,Latn,,
it,Latn,,
iu,,,
iw,Hebr,,he!
ja,Jpan,,
ji,,,yi!
jv,,,
jw,,,jv!
ka,Geor,,
kg,,,
ki,,,
kj,,,
kk,Cyrl,,
kl,Latn,,
km,Khmr,,
kn,Knda,,
ko,Kore,,
kr,,,
ks,,,
ku,,,
kv,,,
kw,,,
ky,,,
la,Latn,,
lb,Latn,,
lg,,,
li,,,
ln,Latn,,
lo,Laoo,,
lt,Latn,,
lu,,,
lv,Latn,,
mg,Latn,,
mh,Latn,,
mi,,,
mk,Cyrl,,
ml,Mlym,,
mn,,,
mo,Latn,,ro!
mr,Deva,,
ms,Latn,,
mt,Latn,,
my,Mymr,,
na,Latn,,
nb,Latn,no,
nd,Latn,,
ne,Deva,,
ng,,,
nl,Latn,,
nn,Latn,no,
no,Latn,,
nr,Latn,,
nv,,,
ny,Latn,,
oc,,,
oj,,,
om,Latn,,
or,Orya,,
os,,,
pa,Guru,,
pi,,,
pl,Latn,,
ps,Arab,,
pt,Latn,,
qu,Latn,,
rm,Latn,,
rn,Latn,,
ro,Latn,,
ru,Cyrl,,
rw,Latn,,
sa,,,
sc,,,
sd,,,
se,,,
sg,Latn,,
sh,,,
si,Sinh,,
sk,Latn,,
sl,Latn,,
sm,Latn,,
sn,,,
so,Latn,,
sq,Latn,,
sr,,sh,
ss,Latn,,
st,Latn,,
su,,,
sv,Latn,,
sw,Latn,,
ta,Taml,,
te,Telu,,
tg,,,
th,Thai,,
ti,Ethi,,
tk,,,
tl,Latn,,
tn,Latn,,
to,Latn,,
tr,Latn,,
ts,Latn,,
tt,,,
tw,,ak,
ty,,,
ug,,,
uk,Cyrl,,
ur,Arab,,
uz,,,
