1606nict,frm,
1694acad,fr,
1901,de,
1959acad,be,
1994,sl-rozaj,
1996,de,
abl1943,pt-BR,
akuapem,tw,
alalc97,,
aluku,djk,
ao1990,pt,
aranes,oc,
arevela,hy,!
arevmda,hy,!
asante,tw,
auvern,oc,
baku1926,az,
balanka,blo,
barla,kea,
basiceng,en,
bauddha,sa,
biscayan,eu,
biske,sl-rozaj,
bohoric,sl,
boont,en,
bornholm,da,
cisaup,oc,
colb1945,pt,
cornu,en,
creiss,oc,
dajnko,sl,
ekavsk,sr,
emodeng,en,
fonipa,,
fonkirsh,,
fonnapa,,
fonupa,,
fonxsamp,,
gascon,oc,
grclass,oc,
grital,oc,
grmistr,oc,
hepburn,ja-Latn,
heploc,ja-Latn-hepburn,alalc97!
hognorsk,nn,
hsistemo,eo,
ijekavsk,sr,
itihasa,sa,
ivanchov,bg,
jauer,rm,
jyutping,yue,
kkcor,kw,
kociewie,pl,
kscor,kw,
laukika,sa,
lemosin,oc,
lengadoc,oc,
lipaw,sl-rozaj,
luna1918,ru,
metelko,sl,
monoton,el,
ndyuka,djk,
nedis,sl,
newfound,en-CA,
nicard,oc,
njiva,sl-rozaj,
nulik,vo,
osojs,sl-rozaj,
oxendict,en,
pahawh2,mww,
pahawh3,mww,
pahawh4,mww,
pamaka,djk,
peano,la,
petr1708,ru,
pinyin,zh-Latn,
polyton,el,
provenc,oc,
puter,rm,
rigik,vo,
rozaj,sl,
rumgr,rm,
scotland,en,
scouse,en,
simple,,
solba,sl-rozaj,
sotav,kea,
spanglis,en,
surmiran,rm,
sursilv,rm,
sutsilv,rm,
tarask,be,
tongyong,zh-Latn,
uccor,kw,
ucrcor,kw,
ulster,sco,
unifon,en,
vaidika,sa,
valencia,ca,
vallader,rm,
vivaraup,oc,
wadegile,zh-Latn,
xsistemo,eo,
